"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66537357","10/19/2025 07:45:04 PM","10/21/2025 12:38:43 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10013","128 ELIZABETH STREET","ELIZABETH STREET","GRAND STREET","BROOME STREET","GRAND STREET","BROOME STREET","ADDRESS","NEW YORK","ELIZABETH STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/20/2025 04:11:45 AM","02 MANHATTAN","1004700050","MANHATTAN","985,524","201,404","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.71948408891","-73.99540403693","(40.71948408891224, -73.99540403693251)"
"66542219","10/19/2025 10:31:40 AM","10/22/2025 01:14:01 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10027","230 MALCOLM X BOULEVARD","MALCOLM X BOULEVARD","WEST  121 STREET","WEST  122 STREET","WEST  121 STREET","WEST  122 STREET","ADDRESS","NEW YORK","LENOX AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/20/2025 11:50:13 AM","10 MANHATTAN","1017200067","MANHATTAN","998,909","232,789","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.8056157606","-73.94704913076","(40.805615760599004, -73.94704913075766)"
"66525101","10/18/2025 10:12:09 AM","10/21/2025 12:53:44 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10035","1985 MADISON AVENUE","MADISON AVENUE","EAST  126 STREET","EAST  127 STREET","EAST  126 STREET","EAST  127 STREET","ADDRESS","NEW YORK","MADISON AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/18/2025 05:49:34 PM","11 MANHATTAN","1017510120","MANHATTAN","1,000,900","233,224","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.80680618769","-73.93985621417","(40.80680618768884, -73.93985621416901)"
"66520628","10/17/2025 06:19:36 PM","10/24/2025 03:44:31 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11228","7621 10 AVENUE","10 AVENUE","76 STREET","77 STREET","76 STREET","77 STREET","ADDRESS","BROOKLYN","10 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/22/2025 06:26:01 AM","10 BROOKLYN","3059550002","BROOKLYN","980,135","166,442","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.62352037677","-74.01482354496","(40.62352037676742, -74.01482354495766)"
"66520629","10/17/2025 02:11:37 PM","10/24/2025 03:00:43 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10022","300 EAST   52 STREET","EAST   52 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST   52 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/18/2025 07:13:32 AM","06 MANHATTAN","1013440049","MANHATTAN","993,322","214,701","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.75597649927","-73.96725477247","(40.75597649926592, -73.96725477247286)"
"66508119","10/16/2025 05:43:57 PM","10/21/2025 03:08:39 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10040","4710 BROADWAY","BROADWAY","DONGAN PLACE","ARDEN STREET","DONGAN PLACE","ARDEN STREET","ADDRESS","NEW YORK","BROADWAY",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/17/2025 07:08:58 AM","12 MANHATTAN","1021750027","MANHATTAN","1,003,800","254,183","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.86432662189","-73.92931963622","(40.864326621892744, -73.92931963621882)"
"66506449","10/16/2025 12:17:21 PM","10/17/2025 02:42:05 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10128","300 EAST   96 STREET","EAST   96 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST   96 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/17/2025 07:20:54 AM","08 MANHATTAN","1015580049","MANHATTAN","998,928","224,986","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.78419861152","-73.94699755383","(40.78419861151905, -73.94699755383103)"
"66509799","10/16/2025 07:46:08 AM","10/17/2025 02:08:02 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11217","610 WARREN STREET","WARREN STREET","3 AVENUE","4 AVENUE","3 AVENUE","4 AVENUE","ADDRESS","BROOKLYN","WARREN STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/17/2025 04:09:19 AM","06 BROOKLYN","3004017501","BROOKLYN","989,466","187,565","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.68149782571","-73.98119396536","(40.6814978257053, -73.98119396536329)"
"66491776","10/15/2025 04:46:12 PM","10/18/2025 11:58:50 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11101","11-06 47 ROAD","47 ROAD","11 STREET","JACKSON AVENUE","11 STREET","JACKSON AVENUE","ADDRESS","LONG ISLAND CITY","47 ROAD",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/16/2025 02:16:07 PM","02 QUEENS",,"QUEENS","997,933","210,433","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74425598491","-73.95062013462","(40.7442559849098, -73.95062013461612)"
"66496409","10/15/2025 03:41:34 PM","10/17/2025 02:06:49 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11228","1001 77 STREET","77 STREET","10 AVENUE","11 AVENUE","10 AVENUE","11 AVENUE","ADDRESS","BROOKLYN","77 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/17/2025 10:36:19 AM","10 BROOKLYN","3059550001","BROOKLYN","980,100","166,240","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.62296591269","-74.01494950195","(40.622965912687114, -74.01494950195432)"
"66488732","10/15/2025 01:54:02 PM","10/16/2025 03:13:46 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","128 WEST   10 STREET","WEST   10 STREET","GREENWICH AVENUE","WAVERLY PLACE","GREENWICH AVENUE","WAVERLY PLACE","ADDRESS","NEW YORK","WEST   10 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/16/2025 04:31:07 AM","02 MANHATTAN","1006100053","MANHATTAN","984,200","206,929","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73464896008","-74.00018041637","(40.734648960079824, -74.00018041636791)"
"66498031","10/15/2025 10:00:27 AM","10/16/2025 03:13:45 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","128 WEST   10 STREET","WEST   10 STREET","GREENWICH AVENUE","WAVERLY PLACE","GREENWICH AVENUE","WAVERLY PLACE","ADDRESS","NEW YORK","WEST   10 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/16/2025 04:31:07 AM","02 MANHATTAN","1006100053","MANHATTAN","984,200","206,929","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.73464896008","-74.00018041637","(40.734648960079824, -74.00018041636791)"
"66494775","10/15/2025 07:37:41 AM","10/15/2025 02:04:04 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11218","2799 FORT HAMILTON PARKWAY","FORT HAMILTON PARKWAY","OCEAN PARKWAY","EAST    5 STREET","OCEAN PARKWAY","EAST    5 STREET","ADDRESS","BROOKLYN","FORT HAMILTON PARKWAY",,"Closed",,"The Department of Sanitation removed the items.","10/15/2025 12:46:45 PM","07 BROOKLYN",,"BROOKLYN","990,761","175,805","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64921837986","-73.97653626323","(40.649218379858816, -73.97653626323329)"
"66482518","10/14/2025 09:29:41 PM","10/15/2025 02:03:56 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11218","70 OCEAN PARKWAY","OCEAN PARKWAY","FORT HAMILTON PARKWAY","CATON AVENUE","FORT HAMILTON PARKWAY","CATON AVENUE","ADDRESS","BROOKLYN","OCEAN PARKWAY",,"Closed",,"The Department of Sanitation removed the items.","10/15/2025 12:45:15 PM","07 BROOKLYN","3053190001","BROOKLYN","991,019","175,683","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64888332288","-73.97560662929","(40.64888332287906, -73.97560662928585)"
"66479483","10/14/2025 06:38:41 PM","10/15/2025 02:55:53 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11220","6302 3 AVENUE","3 AVENUE","63 STREET","64 STREET","63 STREET","64 STREET","ADDRESS","BROOKLYN","3 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/15/2025 04:11:48 AM","07 BROOKLYN","3058070040","BROOKLYN","977,996","172,627","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.6404956403","-74.02253463788","(40.64049564030274, -74.02253463788094)"
"66461748","10/12/2025 02:27:42 PM","10/16/2025 03:13:44 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","128 WEST   10 STREET","WEST   10 STREET","GREENWICH AVENUE","WAVERLY PLACE","GREENWICH AVENUE","WAVERLY PLACE","ADDRESS","NEW YORK","WEST   10 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/16/2025 04:31:07 AM","02 MANHATTAN","1006100053","MANHATTAN","984,200","206,929","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73464896008","-74.00018041637","(40.734648960079824, -74.00018041636791)"
"66453576","10/12/2025 12:38:17 PM","10/17/2025 08:41:40 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10301","228 SAINT MARKS PLACE","SAINT MARKS PLACE","HAMILTON AVENUE","WALL STREET","HAMILTON AVENUE","WALL STREET","ADDRESS","STATEN ISLAND","ST MARKS PLACE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/14/2025 11:18:18 AM","01 STATEN ISLAND","5000210075","STATEN ISLAND","962,080","174,014","PHONE","Unspecified","STATEN ISLAND",,,,,,,,"40.64427711708","-74.07988827938","(40.64427711708093, -74.07988827938058)"
"66461747","10/12/2025 12:05:53 PM","10/16/2025 03:17:00 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10009","646 EAST   11 STREET","EAST   11 STREET","AVENUE B","AVENUE C","AVENUE B","AVENUE C","ADDRESS","NEW YORK","EAST   11 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/14/2025 03:32:07 PM","03 MANHATTAN","1003937501","MANHATTAN","990,430","204,038","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.72671171433","-73.97770319266","(40.72671171432914, -73.9777031926647)"
"66461746","10/12/2025 06:06:06 AM","10/16/2025 03:13:44 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","128 WEST   10 STREET","WEST   10 STREET","GREENWICH AVENUE","WAVERLY PLACE","GREENWICH AVENUE","WAVERLY PLACE","ADDRESS","NEW YORK","WEST   10 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/16/2025 04:31:02 AM","02 MANHATTAN","1006100053","MANHATTAN","984,200","206,929","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73464896008","-74.00018041637","(40.734648960079824, -74.00018041636791)"
"66437665","10/10/2025 09:42:44 AM","10/11/2025 03:45:53 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10457","EAST  174 STREET","EAST  174 STREET","EAST  174 STREET","MORRIS AVENUE","EAST  174 STREET","MORRIS AVENUE","INTERSECTION",,,,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/11/2025 08:58:38 AM","04 BRONX",,"BRONX","1,009,324","247,086","PHONE","Unspecified","BRONX",,,,,,,,"40.84483352077","-73.90937492397","(40.844833520773165, -73.90937492396961)"
"66437622","10/10/2025 07:57:52 AM","10/11/2025 03:34:46 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10465","3210 MIDDLETOWN ROAD","MIDDLETOWN ROAD","DWIGHT PLACE","ROBERTSON PLACE","DWIGHT PLACE","ROBERTSON PLACE","ADDRESS","BRONX","MIDDLETOWN ROAD",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/11/2025 07:30:53 AM","10 BRONX","2054110327","BRONX","1,033,024","247,827","PHONE","Unspecified","BRONX",,,,,,,,"40.84676824086","-73.82371068782","(40.846768240862396, -73.82371068781927)"
"66421876","10/09/2025 04:52:35 PM","10/10/2025 08:16:22 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10454","815 EAST  135 STREET","EAST  135 STREET","WILLOW AVENUE","AMTRAK-HELLGATE LINE","WILLOW AVENUE","AMTRAK-HELLGATE LINE","ADDRESS","BRONX","EAST  135 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.","10/10/2025 08:16:22 AM","01 BRONX","2025870021","BRONX","1,008,646","231,460","ONLINE","Unspecified","BRONX",,,,,,,,"40.8019465022","-73.91188223359","(40.80194650219824, -73.91188223359325)"
"66424508","10/09/2025 12:06:43 PM","10/11/2025 02:56:40 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10457","220 EAST  178 STREET","EAST  178 STREET","GRAND CONCOURSE","ANTHONY AVENUE","GRAND CONCOURSE","ANTHONY AVENUE","ADDRESS","BRONX","EAST  178 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/10/2025 12:49:37 PM","05 BRONX","2028100017","BRONX","1,010,722","249,100","PHONE","Unspecified","BRONX",,,,,,,,"40.85035727349","-73.90431417856","(40.85035727349358, -73.90431417855552)"
"66400315","10/07/2025 02:49:40 PM","10/11/2025 02:07:00 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10454","468 EAST  140 STREET","EAST  140 STREET","WILLIS AVENUE","BROOK AVENUE","WILLIS AVENUE","BROOK AVENUE","ADDRESS","BRONX","EAST  140 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/08/2025 01:23:25 PM","01 BRONX","2022840034","BRONX","1,006,423","234,222","PHONE","Unspecified","BRONX",,,,,,,,"40.80953328604","-73.91990252939","(40.80953328604291, -73.91990252939155)"
"66388120","10/06/2025 06:58:52 PM","10/10/2025 07:47:19 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10021","1 AVENUE","1 AVENUE","1 AVENUE","EAST   76 STREET","1 AVENUE","EAST   76 STREET","INTERSECTION",,,,"Closed",,"The Department of Sanitation removed the items.","10/07/2025 04:03:33 AM","08 MANHATTAN",,"MANHATTAN","996,960","219,954","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.77039014804","-73.95411354406","(40.770390148038096, -73.95411354405533)"
"66394256","10/06/2025 06:51:46 PM","10/08/2025 03:49:19 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10304","40 CEDAR STREET","CEDAR STREET","HUDSON STREET","BROAD STREET","HUDSON STREET","BROAD STREET","ADDRESS","STATEN ISLAND","CEDAR STREET",,"Closed",,"The Department of Sanitation cleaned the location.","10/06/2025 09:18:46 PM","01 STATEN ISLAND","5005410057","STATEN ISLAND","961,902","166,873","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.62467614975","-74.08050604237","(40.624676149750734, -74.08050604237029)"
"66386623","10/06/2025 06:09:52 PM","10/12/2025 07:10:54 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11237","1518 GATES AVENUE","GATES AVENUE","IRVING AVENUE","MYRTLE AVENUE","IRVING AVENUE","MYRTLE AVENUE","ADDRESS","BROOKLYN","GATES AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/08/2025 03:39:23 PM","04 BROOKLYN","3033450012","BROOKLYN","1,008,396","193,878","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.69879415205","-73.91292017044","(40.698794152054425, -73.91292017043952)"
"66386624","10/06/2025 02:46:36 PM","10/09/2025 02:33:18 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10033","506 WEST  178 STREET","WEST  178 STREET","AMSTERDAM AVENUE","AUDUBON AVENUE","AMSTERDAM AVENUE","AUDUBON AVENUE","ADDRESS","NEW YORK","WEST  178 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/06/2025 09:51:02 PM","12 MANHATTAN","1021320035","MANHATTAN","1,002,872","247,614","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.84629868904","-73.9326929408","(40.84629868903645, -73.93269294080103)"
"66395669","10/06/2025 01:02:26 PM","10/10/2025 07:59:37 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Traffic Island or Median","10022","1064 2 AVENUE","2 AVENUE","EAST   55 STREET","EAST   56 STREET","EAST   55 STREET","EAST   56 STREET","ADDRESS","NEW YORK","2 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/07/2025 10:21:44 AM","06 MANHATTAN",,"MANHATTAN","993,713","215,633","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.7585341914","-73.96584215308","(40.75853419140274, -73.96584215307698)"
"66368050","10/04/2025 06:49:46 PM","10/10/2025 08:12:33 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Gutter","10011","425 AVENUE OF THE AMERICAS","AVENUE OF THE AMERICAS","CHRISTOPHER STREET","WEST   10 STREET","CHRISTOPHER STREET","WEST   10 STREET","ADDRESS","NEW YORK","AVENUE OF THE AMERICAS",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/07/2025 01:00:07 PM","02 MANHATTAN","1006060001","MANHATTAN","984,509","206,810","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73432233074","-73.9990654478","(40.734322330739964, -73.99906544779539)"
"66368051","10/04/2025 03:22:26 PM","10/10/2025 08:26:15 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10002","161 FORSYTH STREET","FORSYTH STREET","DELANCEY STREET","RIVINGTON STREET","DELANCEY STREET","RIVINGTON STREET","ADDRESS","NEW YORK","FORSYTH STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/05/2025 02:37:26 PM","03 MANHATTAN",,"MANHATTAN","986,562","201,864","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.7207464677","-73.99165928737","(40.72074646770458, -73.9916592873695)"
"66366774","10/04/2025 09:44:57 AM","10/06/2025 02:06:35 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","21 GREENWICH AVENUE","GREENWICH AVENUE","CHRISTOPHER STREET","WEST   10 STREET","CHRISTOPHER STREET","WEST   10 STREET","ADDRESS","NEW YORK","GREENWICH AVENUE",,"Closed",,"The Department of Sanitation removed the items.","10/04/2025 10:19:37 PM","02 MANHATTAN","1006100053","MANHATTAN","984,267","206,909","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73459406513","-73.99993865849","(40.73459406513206, -73.99993865848545)"
"66363956","10/03/2025 07:26:48 PM","10/10/2025 08:42:27 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10019","699 WEST   59 STREET","WEST   59 STREET","FREEDOM PLACE SOUTH","RIVERSIDE BOULEVARD","FREEDOM PLACE SOUTH","RIVERSIDE BOULEVARD","ADDRESS","NEW YORK","WEST   59 STREET",,"Closed",,"The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.","10/06/2025 12:37:15 PM","07 MANHATTAN","1011710004","MANHATTAN","986,193","220,790","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.77269367345","-73.99298501464","(40.77269367345374, -73.99298501464142)"
"66363955","10/03/2025 05:13:46 PM","10/04/2025 04:27:37 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11223","810 GRAVESEND NECK ROAD","GRAVESEND NECK ROAD","EAST    8 STREET","CONEY ISLAND AVENUE","EAST    8 STREET","CONEY ISLAND AVENUE","ADDRESS","BROOKLYN","GRAVESEND NECK ROAD",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/04/2025 09:11:26 AM","15 BROOKLYN","3071590167","BROOKLYN","994,793","155,775","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.59423633435","-73.96203739988","(40.59423633435492, -73.96203739988448)"
